lfdr,p_values
0.0,6.505119485833433e-05
0.0,6.586646229211901e-05
0.0,6.669840925765946e-05
0.0,7.0859544894053e-05
0.0,7.255570308228876e-05
0.0006176030170769332,0.0001113312460794269
0.003398444078632023,0.00011395904332001106
0.0032518067304480344,0.00011787822360720401
0.006309679498064007,0.00013794541151346262
0.0007356603341740876,0.00021906861729414917
0.003159802878153907,0.0002233243169210697
0.0007749978948501922,0.00023281012874387663
0.000714144079724243,0.00023562858486203542
0.0016991739064519044,0.00024179485792619193
0.00170700174669466,0.0002432503469588232
0.027073013881847803,0.0002476992978451831
0.00605072784246042,0.00028636029406370334
0.0007752311919484191,0.00041978291160982284
0.0018512612945332436,0.0004304418782128394
0.002363869946929764,0.0004536477705060493
,0.00047888282151842265
0.005541853254999283,0.0005072524419789115
0.002633077563569752,0.0005204086211667569
0.16460164908323482,0.0005461043129691978
0.003250169393543959,0.0005639346227154229
0.009440641677359878,0.0005827719842966816
0.009946249267090543,0.0006888647882959953
0.01121089565915027,0.0007577502151456805
0.0032107307169348016,0.0007799239468641028
0.007888530756997978,0.0007895244220598174
0.37674627191645377,0.0008064357224926155
0.0033353655914630104,0.0008178400050335988
0.002318140148395299,0.0008370208966079762
0.01228586218403213,0.0009616326239760831
0.0036674668305976864,0.0009991957928208173
0.00955863706177511,0.001048113350255453
0.016681249693511212,0.0011298581261818263
0.013909941385799903,0.001169911240001209
0.0032097576219240163,0.0012240499500935087
0.04628632317019523,0.0014354319038645258
0.004000238624408209,0.0014639697576118715
,0.001586120068342245
0.020626950476480676,0.0016064702511235929
0.012537652418993482,0.0016709520555242552
0.9556480958160957,0.0017858559694364784
0.016039697171568952,0.0022493848216249557
0.01071634810931845,0.0022685818313957773
0.02314846470434119,0.002417245055068129
0.06225006110678986,0.0026985330116512385
0.013016266734467888,0.0029450779329578403
0.007336992427096369,0.0032146239572166113
0.005523234645235402,0.003534802943811699
0.029777649727745003,0.0036506216745032516
0.9999851783564495,0.0037138194102029898
,0.0038022237759939292
0.9609176650005344,0.0038455983761511714
0.485479446401502,0.003923444089933947
0.02341118813305279,0.004158992211228507
,0.004424365230487393
,0.004519228799407471
0.018523206489926607,0.004729065149708722
0.888781289387081,0.005725593266023066
0.43285238066126036,0.005986842354563593
,0.0060035678944154736
,0.006108772842368548
0.022479220650627386,0.006132179965220752
0.012565353894569645,0.006430361956367481
0.010041704662088242,0.006764979885684919
0.022140815020651815,0.00690676680928437
,0.007004528532188026
,0.007120769475327582
0.052787315138775937,0.007627159863014099
0.03803032927901507,0.008039272603816983
,0.008078352730198413
,0.008133267105248532
0.9987702157198907,0.00854929609343602
0.05013766619150214,0.008860305743581764
,0.008960642415725584
0.999999999999998,0.00918756987940561
,0.009279232182234143
,0.010123364647191102
0.07593232498175086,0.010851811926097632
0.058899017719731585,0.01085203163442583
0.06554298455305745,0.010918907763114327
0.02426691101782356,0.012330970919469109
,0.012723289725341869
0.9999999975662864,0.01284402893060932
0.3320243025548428,0.013237286234493162
0.13133326370525963,0.013238935104581517
,0.013307253777708028
0.9999999999999843,0.013525730453023188
,0.014595365961979634
,0.014664342394135166
0.836375061242481,0.014879117492453076
0.02918010606398328,0.015047182029767625
,0.015304426932721271
0.09255313794991378,0.015358285360069668
,0.015579309631229
,0.015727993113599625
0.7007362361832462,0.01584299508253617
0.023029401780044572,0.01666049176727047
0.09794505526130098,0.016962615609251608
0.04837652729583241,0.01715537605312778
0.0636125299012772,0.017172165812048834
,0.017255618056050803
0.09619917409039531,0.017813901627003137
,0.01796661849591985
0.10909999511763185,0.018454400888321953
0.0512634592665259,0.01854342560701816
0.9999999999999982,0.018626409584911463
0.8660567711862057,0.018779366554244947
0.9999999768186987,0.018830486264650115
,0.01928645841472021
0.20576711648410423,0.01954687852888004
,0.01963184872014523
0.9999999999904111,0.019706200221111025
0.3726134993097939,0.020809942081768895
0.3553874060445489,0.020816302289439648
,0.02086477619909155
,0.021626667376683728
0.9999999999934759,0.021671221569252608
,0.0224267016190266
0.05948612107096244,0.022641864978530712
,0.022784855689590877
0.9999999978874222,0.022817279391928347
,0.022909666380525162
,0.023451928379002673
,0.024681374481938634
,0.025346232182620998
,0.025772480512889828
0.11022373707629537,0.025846316561548566
,0.025977052571278025
,0.026251322505004282
,0.026292920010387633
0.999999999997294,0.026323868329050093
,0.026328933109395103
0.5514494832772003,0.02673884172586749
,0.027914517240703263
0.11548656718532825,0.02792397173534955
,0.02796875456703163
0.05674107879379994,0.027974902712993188
0.3846519443546267,0.027991457743458015
,0.028184814643480882
0.9999999896227574,0.02836840209084457
,0.028418296370631868
,0.02868820731244881
0.13246421105454415,0.028811116306512563
,0.02909129972964486
,0.029636600869392127
0.9999999794965536,0.02979517118482311
,0.03002844450055908
0.766994632711101,0.030486011434971427
0.9733113735902592,0.03053184446149937
0.9999999999999877,0.03308235244800195
,0.033187963755775485
0.9999999999916892,0.033260775937903886
0.21859037844431856,0.033444986177600056
,0.03384488273905051
,0.034084338894888155
0.23150879546272884,0.034525229258499435
,0.034756849946263046
0.5758634792037636,0.034803165190503416
0.8671165153912386,0.034813650374770355
,0.03566856806569907
0.9994828845057355,0.035980093973834615
0.6986627043872039,0.03625622764016978
0.05061479213235038,0.03640849151012948
,0.03685840466350998
0.9999999966187877,0.03723707696763001
,0.038198263419883416
0.5856068973803875,0.0385439062197076
0.9999999649701945,0.03856557837919172
,0.03893414236085191
,0.03919785380275875
,0.03927359324806934
0.5891621736221844,0.03998990592870566
,0.04060802997092905
,0.040665315115989586
0.5916814012562169,0.041041733057964436
,0.0414061016137004
0.44693431046537085,0.04247059047431667
0.6490323133861575,0.04267460767465936
,0.042821362883724734
0.13915324138887505,0.04284637163945215
,0.042954773101736565
,0.043096709205820205
0.5966537852419589,0.043185742190777865
,0.04344601188609831
,0.0437666934028591
,0.044272077264183474
0.988915089208176,0.044427458872196124
0.16964462710969627,0.0444719420312375
,0.045217611499596355
,0.0452969594747773
,0.04576226816578366
0.8773175273648096,0.045852827471842494
,0.045953152190892244
,0.0464507300786976
,0.046606603389573564
,0.04679882048477546
,0.0469693635488837
0.25506613444025616,0.04721703429149127
,0.04756714223797853
,0.04765043153280313
0.9999999999977439,0.04817948433503405
0.9999929120078562,0.048219413442933456
0.7947274292133987,0.04864899560029268
,0.04893579018535077
,0.0489822123721797
,0.04949050024935042
,0.04977380799779074
,0.04984862659930145
,0.05115626203269619
0.9996759337993718,0.0518109023421216
,0.05190842939834994
0.9904504441621536,0.05225510747291773
0.9996774302297657,0.05252408447222223
,0.05266767141252271
,0.05274842452160189
,0.0531206189579575
0.9999999994899015,0.05358708977201776
,0.05369948156522375
,0.054047800197237095
,0.05428883242261673
0.3720832474563639,0.0545319349662009
0.5544175271141658,0.05473509982807301
,0.05514000631020699
,0.05542559889283749
0.3135837200057901,0.055780955743277016
0.9999999999994498,0.056083802184453746
0.4608298204895446,0.056096252377405675
,0.056455595114959456
,0.056986247745225316
,0.05739613146917577
,0.05788563778550204
0.14277260273610853,0.058289405554715956
,0.05859497904050248
,0.059681364248628244
,0.06071452136084632
,0.06124050925122926
,0.06131033388463425
,0.06160348406603622
0.9999999918839159,0.061653222887580905
0.9999146029943315,0.061982374777973304
0.9999999999975417,0.06211647800162878
0.40836923994316904,0.062132392849559626
0.9999999701058412,0.062154725223424356
,0.06233961166018054
,0.06249286705083279
,0.0627389771152338
,0.06300381579479952
,0.06363698577123056
,0.06390545920343094
,0.06488403525648567
0.5785358103352664,0.06750793967974811
,0.06796209146121002
,0.06804957908022158
0.3109442394844001,0.06805741476402294
,0.0681628557402445
,0.06914702018411834
,0.0692154744980229
0.9999773267131027,0.06947788905206409
0.9999999999999957,0.06978298804587102
,0.07017238682914395
,0.07089902468848197
,0.07099522672866354
0.6487984613237463,0.07104896658027515
,0.07152642519571362
,0.07198564334155
0.6067030269218031,0.07251072410996628
,0.07270146809074163
,0.07334189226653431
0.9999999924167481,0.0740281475330381
0.9842165659900453,0.07405434465677563
0.9999997019730608,0.07425318904341227
,0.075187752940019
0.9999999951237669,0.07530269887207064
0.2383830129688449,0.07547639132427808
,0.07557132293499769
0.21069837532470437,0.07565657727128816
0.7569710013755268,0.07610467044175795
,0.07628698300255943
0.5937626569214616,0.07672335753786119
,0.07699973557270634
0.6577100661190862,0.07722736270524488
0.9999852071095142,0.07726414032703466
,0.07750145438693357
0.9999999999995117,0.07751861360185386
0.7046874051720845,0.07778232024145071
,0.07819222376235857
0.999999882303683,0.07826773772973294
,0.07907074255994018
,0.07910310519646535
,0.07960413707650127
,0.08020489889626548
,0.08025731927574298
,0.08035924626981916
0.2036786082958106,0.08105244260709354
0.9999999999995204,0.08118248958824215
0.8066244297847742,0.08169465028718947
0.8126391653175654,0.08182192092881502
0.9999999999999903,0.08217047257291443
,0.08395362617127233
,0.08485366505092118
,0.08498166204275248
,0.08543008369354
,0.0854354999915421
0.985077792051319,0.08544759135465663
,0.08576951341543682
,0.08604049815317916
0.9011988898775285,0.08630676015937766
0.9999975366921354,0.08655062596248708
0.21653849719889862,0.08682797598184488
,0.08718912126221501
0.13840739100286037,0.08750485719614676
,0.08778335589593544
,0.08790492173278708
,0.0882876976885566
0.7183369855848987,0.08946943250747807
0.9999936100158227,0.08959688130484345
0.4412994094215441,0.09008716595765331
,0.09027848967087271
0.9999999989234755,0.09076829470598147
0.9047590420482712,0.09085761727123942
0.9999999807904125,0.09114322320951429
,0.09153465174462305
,0.09277638526506482
0.7164204022973181,0.0935336494191249
,0.09375759540447226
0.9923405451546482,0.09393382793768024
,0.09398283237764171
,0.09479069611338442
0.5209459035431159,0.09489201971122962
,0.09495390146359262
,0.09514758955426827
,0.095248213304721
,0.09553894429058574
,0.09574169234919083
0.4515832322770903,0.09640511247533434
,0.0965936675529625
0.3622525491562107,0.09670979903686394
0.99999999999442,0.09682470188687753
0.7382005635966685,0.09754545619504729
0.9999999436996543,0.0975711892821447
0.5929905068676906,0.09781713006810266
0.9994005006683782,0.09821287737813378
0.9999999999846171,0.09881446825858053
0.9999999999999999,0.0989736496138176
,0.10003847905946561
,0.10032257441143144
,0.10053615389990578
0.9999997370740434,0.10086022065899447
0.9087701473922548,0.10101800677045669
0.9073592315723715,0.10132554783827252
,0.1013343103764256
0.9493079802631349,0.10249407257186238
,0.10353659963784478
,0.10376980732384822
,0.1038168256302957
,0.10442830343973508
0.4650011395295991,0.10507907887940393
0.9999999999701883,0.10535931008679289
,0.10555866907603273
0.9605954014926279,0.10584260352341857
,0.10701762766886047
,0.10738900987080657
0.9927750422575264,0.10747375555006111
,0.10765927502398931
,0.108339430913021
0.9999998974026741,0.10852318292345964
,0.10899278604145302
,0.10943159560478466
0.9999999999936321,0.110735175526392
,0.11076821832656414
,0.11166519087026239
0.999999994552229,0.11201036524077579
,0.11247998584914531
0.9999999999999921,0.1136027021196897
,0.11436786747283578
,0.1144321378958143
0.9463943538903122,0.11477036311266597
0.7374262147698993,0.11485241114277212
,0.11534165434112775
,0.1171647668610345
,0.11720698510369776
,0.11723454240950704
0.9999997544636566,0.11738502956144636
0.9999999968259365,0.11752550588776223
,0.1175307378662267
0.9999999999857808,0.11772288599774416
,0.11773721448682373
0.9835567723453492,0.11784007270296215
0.394797748669312,0.1178765883862386
,0.11796761149427004
0.6197442293705449,0.11903325058054737
,0.1199990242538741
0.9999999999999991,0.12125851344480088
,0.12137282857380471
,0.12247105956356141
,0.12272732491923388
0.9999821738455346,0.12286855489791859
,0.12367717572204606
0.9999999996367014,0.12440002243654347
,0.12440290700631074
0.31456091793572827,0.12440348569578707
0.7985290789517283,0.12477609311173399
0.43390110717479863,0.12517289191392877
,0.12524296310734417
,0.1253988881610556
,0.1257307230697886
,0.12584262439416383
,0.12684202453489524
,0.12705526074068907
0.675369085738762,0.12732577770028408
,0.12752498818670388
,0.12781787445600112
,0.12837583030601796
0.999999983562957,0.12878601801280054
,0.12892936453553827
,0.12947467284726788
,0.12954310625670296
0.5681325667889027,0.1297847755133258
,0.13015018994804084
,0.13018855384095296
,0.13043150996892583
0.9843455601953317,0.13067628972105405
,0.1310824244567047
,0.13133156799681045
,0.13136526427484618
,0.13194740099246294
,0.13203390904735812
,0.13244967589403978
,0.13273941318063776
0.37887839449403743,0.13358864563714223
0.9646309043734695,0.13377299938988185
,0.1341059442716257
,0.13455252624574665
0.6539893390723424,0.1347974216278388
0.5244862617684011,0.13504978275152946
,0.13511065303156622
0.9999999999996179,0.1351624745620814
0.9999999999985115,0.1351990041523321
,0.1355633938659051
,0.13566675211922652
,0.13588268617863986
,0.13600577138709347
,0.13628479535520532
,0.1363432567148799
0.5856028515240428,0.13673278177176929
0.7613346352284007,0.13674022825569898
,0.13688976701254763
,0.13691459428571828
,0.1369543883687896
,0.13702101914369202
,0.13704710889380378
,0.13747797527859595
,0.13763853744922472
,0.13794768399244084
,0.13829761899322812
,0.13839457995985782
,0.1386006050421532
,0.13876417836789545
0.9999999907248681,0.13920426677883757
,0.13929791881596276
,0.13969852657927628
,0.14036399862313287
,0.14067093971845457
0.9655557132673616,0.1411291612758605
,0.14117502076451582
0.9999999999999999,0.14136512498911213
0.9996958590504941,0.14152721932509915
,0.14194807994463898
0.9656939389781549,0.1422622367765749
,0.14290602319660461
,0.14323065623128417
0.9999990057490655,0.14345169921458012
,0.14351599602873744
,0.14484217726713444
0.9999999999999991,0.14511550037858545
,0.1451347388763743
,0.14528371413857177
,0.1453244416484203
,0.14548619721561185
,0.14568254896634258
0.6485917738194238,0.14573535056803233
0.2288024190413048,0.14575736140471007
,0.14598101920538187
,0.14618199280335797
0.2718329278482931,0.14635455622913296
,0.1466308032415512
0.9999999999954163,0.14691215161178506
,0.14735550430061228
,0.14826730494578322
,0.1489215159171774
0.675970742222064,0.14918231297540918
,0.14932646983553555
0.17383947750490883,0.14959484582761517
0.9999999999967677,0.1498052067922827
0.9997053960013285,0.15047730919055247
0.4394663583635433,0.1508418295663425
,0.15164235380223812
,0.15192145258372425
,0.15227538175790478
0.9999999999968106,0.15362564042570004
0.48919117179338695,0.15409760846733123
0.9288168584836604,0.15477722990164056
0.9999999950524222,0.15490503002599054
,0.15532755786022745
,0.1559849668242982
0.9999999891882672,0.15681853403348378
0.9857461804658094,0.15697920818884237
,0.15778371925092327
,0.1581733439736931
,0.15826740226664182
0.6118247170235884,0.15900277596816492
0.42187036212466966,0.159041359157151
0.9999990590167633,0.15917901303729853
0.8542050548525165,0.1593352333758099
0.6776864474039744,0.15945135250955667
0.9999999951306168,0.15953876308896886
0.9999999991783565,0.1601978356570326
,0.1603312647759978
0.8207706922359452,0.16087967240593326
,0.1620832572192269
,0.16217318625236554
,0.16229414069721593
,0.16236154765390742
,0.16242137907608767
0.42616689656392515,0.1625118314480125
0.9999999952015058,0.16385925325252249
,0.16409278374661518
,0.16445800636429286
,0.16451083175915338
0.9999895783754302,0.1646568108498503
,0.16525992316018567
,0.16537687737082296
,0.16581950479440255
,0.16618739070631805
0.9635995145504755,0.1668086817903216
,0.16685562495637007
0.7451841590084571,0.16701817072215985
,0.1673639911199155
0.9999984648034724,0.16764165111206464
,0.16775157088839776
,0.16798466207694907
0.9999999981672764,0.16804427490556606
,0.1680759859707892
0.7925906160656081,0.16824507453319115
0.45092512789045636,0.16867756385951238
,0.16880085561457447
,0.1688062121373476
0.9999984714719931,0.16894721167570703
,0.16937122825202944
0.9999958575162882,0.16999162233029108
0.3580633679869497,0.1708760990006153
0.9103587771648964,0.17101008369166149
,0.17165112474916755
0.9999982285573964,0.17209080216201678
0.9960532480185262,0.17213724014673448
0.9999999996935224,0.17234278347888055
,0.1723884238371357
0.9998075966985216,0.17249697177972223
,0.17262518133328253
,0.17382829332023275
,0.17383862516492177
0.9999899054906846,0.17424884895665638
,0.17451911903830075
,0.1749320675365753
,0.17609612661052454
,0.17618030706450027
,0.17699086773038053
0.9995532037190615,0.17739373484975762
,0.17745547928961203
0.9999999990338359,0.17748841403401228
0.9999999974381866,0.1776215917797488
0.9999954228482548,0.17763440384231155
,0.17775995877267992
,0.17826877073385816
0.9999999918974288,0.17861249782854116
,0.17963824112970106
0.9999442379428709,0.17997251590654517
0.7545357883237421,0.18018548303453097
,0.1802980593117821
0.9999999999984861,0.1806243521336618
0.9999901151000353,0.18068698317257692
,0.18116556851344112
,0.1817642436879423
,0.1820614284049078
,0.18232046736283525
,0.1824794850425664
,0.18318463591930534
0.9999999968027548,0.18346273884300168
0.9999479384844233,0.18353946550893108
0.8327738528905322,0.18400447515232032
0.9999995338987633,0.18410436280499143
,0.18434448734658582
0.9999999999776032,0.18439816271687026
0.802324661981575,0.18475246111786503
,0.1858558065106799
,0.18637199764313772
0.9999999999959868,0.18650810131361906
,0.18723965255253405
,0.1877636714184271
,0.18788390022300616
,0.1880247343206234
0.9999999999996811,0.1882260115166695
,0.18848113552214218
0.999985851688904,0.18936781583678086
,0.18937920031930222
0.9999999958636662,0.18972713634151606
,0.18978272591682555
,0.18982052669159388
,0.19046368693849258
,0.1905349136739286
0.24208932288222643,0.1907843413453778
,0.19083190989107301
,0.19185455745312663
,0.19265579203523686
,0.19265778831304936
0.7641447198056925,0.19316733046364443
,0.19331613997317276
,0.1936165749843809
0.9999999992634881,0.19367044394487198
0.9591367511316403,0.1941119600533322
0.9999999959275266,0.19465893531112677
,0.19574297359672554
0.9999999923457362,0.19647298352223663
,0.1969571482894824
,0.19699559616240825
,0.19706961694188663
0.9999999997169106,0.19709071954284418
,0.19733817142109134
,0.19813872213812445
,0.1983537826963645
,0.1984692118105318
0.6473531574001623,0.19850044967149372
,0.19866280448480134
,0.19876620113639254
,0.19884434658257744
,0.19891981033064343
,0.1996144967710336
0.9999999999999974,0.20048086343670202
0.5414632187185725,0.20096444858944518
0.9999999999999943,0.20161147580277128
0.9999999969820591,0.20176636430503292
,0.20217925300183603
,0.20221826744735427
,0.20259239781896465
0.9387690513482251,0.20260831044658345
0.5277549366012536,0.20378312296736945
,0.20395606767687247
0.999988415543344,0.2039948907069591
0.49096978773083977,0.20399851494422205
,0.20413779504596874
,0.2041640002591567
,0.2041846000879347
0.9999999925351323,0.2045451864503569
,0.2049246610967015
0.49200449512538375,0.20496047450003052
,0.2052045654280168
,0.20535961845013817
,0.2055712533400723
,0.20573604250529975
,0.20588312828302313
0.9999999999999939,0.20591982544992105
,0.2059420602171147
,0.2059509135855342
0.9999999999999939,0.20684212061003082
,0.2069342448653846
,0.20770143274594555
,0.20815176248688094
,0.20816698533939104
,0.20877299770515556
